"ID"	"CVEGEO_MUN"	"NOM_MUN"	"Rubro"	"Inversión"	"Habitantes beneficiados"	"Ejercicio"	"Obra"	"tiene_geo"
115	13012	"Atotonilco el Grande"	"Vialidades Urbanas"	1846466.22	1195	2023	"Construcción de pavimento hidráulico en calle Los Fresnos; en el municipio de Atotonilco el Grande."	TRUE
116	13012	"Atotonilco el Grande"	"Infraestructura Hídrica"	3134120.46	437	2022	"Construcción de ampliación de red de agua potable en Los Tepetates"	TRUE
117	13012	"Atotonilco el Grande"	"Infraestructura Carretera"	6200000	1350	2024	"Construye Tu Camino del tramo Camino de la Región de Comunidades Unidas, en el Municipio de Atotonilco el Grande"	TRUE
118	13012	"Atotonilco el Grande"	"Vialidades Urbanas"	2475805.88	1510	2024	"Construcción de pavimento hidráulico en calle La Piaña, Santa María Amajac; en el municipio de Atotonilco el  Grande."	TRUE
119	13014	"Calnali"	"Vivienda Asequible"	1827486.85	NA	2024	"Construcción de cuartos dormitorios en el municipio de Calnali"	TRUE
120	13014	"Calnali"	"Infraestructura Carretera"	2364543.41	821	2024	"Construcción de muro de contención de la C.E. Ixtlahuaco - Calnali, Ahuacatlán, municipio de Calnali"	FALSE
121	13014	"Calnali"	"Infraestructura Carretera"	3587098.19	4235	2024	"Reconstrucción de la C.E. Calnali a Papatlatla, Paso por Calnali, en el municipio de Calnali"	TRUE
122	13014	"Calnali"	"Espacios Públicos"	725456	4235	2025	"Construcción de Andadores Turísticos en el Centro Histórico de Calnali"	FALSE
123	13014	"Calnali"	"Vivienda Asequible"	519265.64	20	2022	"Construcción de cuarto dormitorio, en el municipio de Calnali"	TRUE
124	13014	"Calnali"	"Infraestructura Carretera"	3149889.61	1355	2024	"Construcción de muro de contención y obra de drenaje en la C.E. Huazalingo - Calnali (Calnali - San Andrés - Santa Lucia), San Andrés, municipio de Calnali"	FALSE
125	13014	"Calnali"	"Infraestructura Carretera"	6781227.6	2258	2023	"Pavimentación hidráulica de la carretera San Andrés - Tecpaco - Tecueyaca"	TRUE
126	13014	"Calnali"	"Infraestructura Hídrica"	344997.18	20	2022	"Construcción de sanitario con biodigestor, en el municipio de Calnali"	TRUE
127	13014	"Calnali"	"Infraestructura Carretera"	4692901.03	312	2023	"Rehabilitación del tramo acceso a Tecueyaca, del Km 0+000 al km 6+000; en el Municipio de Calnali."	TRUE
128	13014	"Calnali"	"Infraestructura Carretera"	35528050.09	226	2022	"Rehabilitación de Pavimentación en la Carretera Estatal Calnali - San Andrés - Santa Lucia, municipio de Calnali"	TRUE
129	13014	"Calnali"	"Infraestructura Carretera"	3976924.16	199	2024	"Rehabilitación de Camino Calnali a Tostlamantla, del Km 0.000 al Km 5.000, en el municipio de Calnali."	FALSE
130	13014	"Calnali"	"Infraestructura Carretera"	4535517.84	337	2024	"Rehabilitación del camino Pezmatlán a Tula, en la localidad de Tula, municipio de Calnali"	FALSE
131	13015	"Cardonal"	"Infraestructura Hídrica"	4457099.7	755	2023	"Equipamiento de pozo, ramal eléctrico, línea de conducción y tanque de regularización del sistema de agua potable manantial Salinas  etapa uno de dos"	TRUE
132	13015	"Cardonal"	"Infraestructura Carretera"	13410378.14	NA	2025	"Rehabilitación de la carretera Cardonal - Cerro Colorado, municipio de Cardonal"	FALSE
133	13015	"Cardonal"	"Infraestructura Carretera"	13291329.58	NA	2025	"Construcción de pavimentación hidráulica del camino intermunicipal Cardonal - Tlahuiltepa, tramo El Moxthe - Cieneguilla, en el municipio de Cardonal"	FALSE
134	13015	"Cardonal"	"Infraestructura Hídrica"	1949477.1384	90	2024	"Perforación Exploratoria de Pozo de Agua potable, Cardonalito."	TRUE
135	13015	"Cardonal"	"Infraestructura Carretera"	3032096.67	270	2023	"Construcción de Pavimentación Hidráulica con roderas, en la localidad de Cuesta Blanca municipio de Cardonal."	TRUE
136	13015	"Cardonal"	"Vialidades Urbanas"	1307947.47	1065	2022	"Construcción de pavimento de concreto hidráulico en el municipio de Cardonal en la localidad del Bingu, en diferentes calles"	TRUE
137	13015	"Cardonal"	"Infraestructura Carretera"	9690119.88	273	2024	"Construcción de pavimentación hidráulica del Camino Intermunicipal Cardonal Nicolás Flores tramo El Boxo Barrio del Tixqui, en el municipio de Cardonal."	TRUE
138	13015	"Cardonal"	"Infraestructura Hídrica"	3325797.27	NA	2022	"Ampliación del sistema de agua potable en la localidad de El Deca en el municipio de Cardonal"	TRUE
139	13015	"Cardonal"	"Infraestructura Hídrica"	1594848.21	1069	2022	"Construcción del pozo profundo de agua potable para beneficiar a la localidad de El Deca en el municipio de Cardonal"	TRUE
140	13015	"Cardonal"	"Infraestructura Carretera"	5500000	500	2024	"Construye Tu Camino del Acceso a El Molino, en el municipio de Cardonal"	TRUE
141	13015	"Cardonal"	"Infraestructura Hídrica"	2741934.94	0	2024	"Estudio y proyecto para la perforación de pozo profundo para uso público, en la localidad de El Vithé, municipio de Cardonal"	TRUE
142	13015	"Cardonal"	"Infraestructura Hídrica"	1584513.1	210	2023	"Construcción de sistema de agua potable La Mesa, municipio de Cardonal, etapa dos de dos."	TRUE
143	13015	"Cardonal"	"Infraestructura Hídrica"	2452380.01	210	2022	"Construcción de sistema de agua potable La Mesa, municipio de Cardonal, etapa una de dos."	TRUE
144	13015	"Cardonal"	"Infraestructura Carretera"	6122809.2	NA	2023	"Construye Tu Camino del Tramo La Mesa - La Gloria, en municipio de Cardonal"	TRUE
145	13015	"Cardonal"	"Infraestructura Carretera"	6400000	NA	2024	"Construye Tu Camino del tramo La Mesa-La Gloria segunda etapa, en el municipio de Cardonal"	TRUE
146	13015	"Cardonal"	"Infraestructura Carretera"	3332034.78	NA	2023	"Pavimentación asfáltica del circuito Los Reyes, municipio de Cardonal"	TRUE
